model_code,sku,productidweb,category_code,brand_id,brand,Sản xuất tại,Loại sản phẩm,Tần số hoạt động,Băng tần,Độ méo tiếng,Năm sản xuất,giá gốc,giá khuyến mãi,khuyến mãi quà
180558,0164779000279,,139,88,Alpha Works,Trung Quốc,Không dây,640 - 690 MHz,UHF,Dưới 0.5%,2025,,,
180140,0164779000235,,139,30,Sony,Việt Nam,Không dây,50 Hz - 15000 Hz,2.4 GHz,Không,2025,,,
180022,0164779000195,,139,88,Alpha Works,Trung Quốc,Không dây,640 - 690 MHz,UHF,Dưới 0.5%,2023,,,
179170,3040875000301,283445,139,121,Jbl,Trung Quốc,Không dây,640 MHz – 690 MHz,UHF,Hãng không công bố,2019,9720000,9720000,Miễn phí công lắp đặt
179616,3040891000029,313217,139,448,Pasion,Việt Nam,Không dây,40 HZ~15 kHz,UHF,Hãng không công bố,2023,,,
179169,3040875000208,283444,139,121,Jbl,Trung Quốc,Không dây,640 MHz – 690 MHz,UHF,Hãng không công bố,2020,8443636,8443636,Miễn phí công lắp đặt
179004,3040891000027,256277,139,454,Boston,Trung Quốc,Không dây,40Hz~20kHz,UHF,"<0.5%, tại 1 kHz",2021,3436364,3436364,
179003,3040891000026,256212,139,454,Boston,Việt Nam,Không dây,Bộ phát tín hiệu: 768.5 MHz ~ 793.5 MHz - Bộ thu tín hiệu: 40Hz - 20 kHz,UHF,"<0.5%, tại 1 kHz",2021,,,
178997,3040891000028,255530,139,451,Paramax,Việt Nam,Không dây,Bộ phát tín hiệu: 630 MHz ~ 689.7 MHz - Bộ thu tín hiệu: 40Hz - 18 kHz,UHF,Dưới 0.5%,2021,,,
178695,3040891000024,219127,139,450,Birici,Việt Nam,Không dây,640 - 665 MHz,UHF,0.5%,2019,1561091,1561091,
178575,3040891000023,202999,139,447,Zenbos,Trung Quốc,Không dây,"Tần số A 675.3 - 687 MHZ, tần số B 675.3 - 681 MHZ",UHF,0.5%,2021,,,
178574,3040891000022,202998,139,447,Zenbos,Trung Quốc,Không dây,675.3 Hz - 681 MHz,UHF,0.5%,2019,,,
178573,3040891000020,202988,139,447,Zenbos,Trung Quốc,Không dây,"Tần số A 675.3 - 687 MHZ, tần số B 675.3 - 681 MHZ",UHF,0.5%,2021,,,
178572,3040891000021,202986,139,447,Zenbos,Trung Quốc,Không dây,675.3 Hz - 681 MHz,UHF,0.5%,2019,,,
178527,3040891000018,198927,139,447,Zenbos,Việt Nam,Không dây,710 MHz - 865 MHz,UHF,0.5%,2018,,,
178526,3040891000015,198924,139,453,Ce-Ance,Trung Quốc,Không dây,710 MHz - 760 MHz,UHF,0.5%,2018,3878182,3878182,
178799,3040891000025,230810,139,454,Boston,Trung Quốc,Có dây,70 Hz - 20kHz,Không có,Hãng không công bố,2020,,,
178528,3040891000019,198928,139,447,Zenbos,Trung Quốc,Có dây,70 - 15 kHz,Không,0.5%,2013,,,
147143,1714279000200,66792,139,454,Boston,,,,,,,,,
147139,1714122002100,66788,139,862,Western,Việt Nam,Không dây,743.8 - 762.8 MHz,UHF,0.005%,2013,,,
147142,1714122002000,66791,139,864,Gunners,Việt Nam,Không dây,830.6 - 855.2 MHz,UHF,0.005%,2013,,,
147157,1714122001900,66814,139,864,Gunners,,,,,,,,,
147152,1714122001800,66809,139,864,Gunners,Việt Nam,Có dây,50 - 100 MHz,Không,0.005%,2013,,,
147155,1714122001600,66812,139,447,Zenbos,Việt Nam,Không dây,700 Hz - 900 MHz,UHF,0.005%,2013,,,
147151,1714122001500,66804,139,447,Zenbos,Việt Nam,Không dây,700 Hz – 900 MHz,UHF,0.005%,2013,,,
147154,1714122001400,66811,139,447,Zenbos,Việt Nam,Có dây,70 - 15 kHz,Không,0.005%,2013,,,
147156,1714122001300,66813,139,447,Zenbos,Việt Nam,Có dây,70 - 15 kHz,Không,0.005%,2013,,,
147153,1714122001200,66810,139,863,Lane,Trung Quốc,Có dây,50 - 160 MHz,Không,0.005%,2013,,,
147140,1714122001100,66789,139,863,Lane,Trung Quốc,Có dây,50 - 160 MHz,Không,0.005%,2013,,,
147141,1714122001000,66790,139,862,Western,,,,,,,,,
147144,1714122000700,66793,139,864,Gunners,Việt Nam,Không dây,743.8 - 762.8 MHz,UHF,0.005%,2013,,,
147145,1714122000600,66794,139,864,Gunners,Việt Nam,Không dây,828.9 - 856.9 MHz.,UHF,0.005%,2013,,,
147146,1714122000500,66795,139,864,Gunners,Việt Nam,Không dây,830.6 - 855.2 MHz,UHF,0.005%,2013,,,
147147,1714122000400,66796,139,864,Gunners,,,,,,,,,
147148,1714122000300,66797,139,864,Gunners,,,,,,,,,
147149,1714122000200,66798,139,864,Gunners,,,,,,,,,
147150,1714122000100,66799,139,864,Gunners,Việt Nam,Có dây,25 - 100 MHz,Không,0.005%,2013,,,
